flight_path,number_of_flights,mean_departure_delay,probablility_of_dep_delay,max_departure_delay,mean_arrival_delay,probablility_of_arr_delay,max_arrival_delay,flag_Isolation Forest,score_Isolation Forest,flag_Local Outlier Factor,score_Local Outlier Factor,flag_One-Class SVM,score_One-Class SVM,flag_Elliptic Envelope,score_Elliptic Envelope,flag_DBSCAN,score_DBSCAN,votes,consensus
"Birmingham, AL -> New York, NY",60,32.45,0.5,248.0,32.68333333333333,0.5333333333333333,245.0,False,0.2940590253847803,False,0.011711417338425534,False,0.0597433067538658,False,0.013388875048931985,False,0.0,0,False
"Birmingham, AL -> Orlando, FL",69,3.9565217391304346,0.21739130434782608,177.0,2.739130434782609,0.3188405797101449,171.0,False,0.027749596363313204,False,0.022964812832145395,False,0.03080441463682503,False,0.0005902025750633851,False,0.0,0,False
"Birmingham, AL -> Philadelphia, PA",61,0.9508196721311475,0.19672131147540983,104.0,-7.639344262295082,0.16393442622950818,89.0,False,0.07224463424661988,False,0.014446090490294475,False,0.015509156916557928,False,0.0008635309994776306,False,0.0,0,False
"Birmingham, AL -> Tampa, FL",59,6.440677966101695,0.3220338983050847,88.0,4.101694915254237,0.3389830508474576,88.0,False,0.02480046264917647,False,0.022521361198249976,False,0.0640227791549105,False,0.00067611476881625,False,0.0,0,False
"Birmingham, AL -> Washington, DC",77,3.5844155844155843,0.2727272727272727,134.0,-0.8311688311688312,0.2727272727272727,121.0,False,0.012837255714846861,False,0.01785381063198931,False,0.020006428744475783,False,0.0004285523333402013,False,0.0,0,False
"Bismarck/Mandan, ND -> Dallas/Fort Worth, TX",45,15.4,0.37777777777777777,243.0,11.355555555555556,0.4666666666666667,231.0,False,0.06140824116264121,False,0.012935590603439129,False,0.046356992568979905,False,0.001409220652231911,False,0.0,0,False
"Bismarck/Mandan, ND -> Denver, CO",51,20.058823529411764,0.39215686274509803,315.0,21.07843137254902,0.43137254901960786,349.0,False,0.13378003127183818,False,0.03362318497966459,False,0.05733992701414951,False,0.007272005337292853,False,0.0,0,False
"Bismarck/Mandan, ND -> Las Vegas, NV",10,1.4,0.2,40.0,2.5,0.6,31.0,False,0.17884621733000255,False,0.07240094035091979,False,0.14976301613243045,False,0.007241870627118145,False,0.0,0,False
"Bismarck/Mandan, ND -> Minneapolis, MN",143,6.6223776223776225,0.23076923076923078,330.0,0.055944055944055944,0.2517482517482518,319.0,False,0.0930901678791596,False,0.021976329928117128,False,0.0348789241151088,False,0.0018834903703655022,False,0.0,0,False
"Bismarck/Mandan, ND -> Phoenix, AZ",24,20.166666666666668,0.375,299.0,18.166666666666668,0.4583333333333333,323.0,False,0.12072866399862703,False,0.0392237540000043,False,0.06025989319111969,False,0.005143067522668708,False,0.0,0,False
"Bismarck/Mandan, ND -> Sanford, FL",6,54.5,1.0,228.0,38.833333333333336,0.8333333333333334,205.0,True,0.6983694411245055,True,0.14412569520145,True,0.4306052443990184,False,0.032980409865157906,True,0.9999999989999999,4,True
